"","wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","lwage"
"898",753,46,70,34,10,21,7,38,1,0,1,1,4,2,12,7,6.62406539916992
"899",1065,65,104,39,16,10,11,34,1,0,1,1,2,3,11,12,6.97073030471802
"900",1070,40,91,42,12,13,1,30,1,0,0,1,1,2,14,12,6.97541379928589
"901",1573,55,112,42,18,7,8,34,1,0,1,1,1,1,14,18,7.36073970794678
"902",650,40,97,27,10,14,9,30,1,0,1,0,5,1,12,9,6.47697257995605
"903",700,45,99,40,12,15,7,32,1,0,1,0,4,2,10,10,6.55108022689819
"907",891,40,90,36,12,16,16,32,1,0,1,0,5,5,12,9,6.79234457015991
"909",1444,40,109,33,15,11,1,29,1,0,1,1,2,1,11,9,7.27517223358154
"912",1473,40,110,48,16,15,15,36,1,0,1,0,1,2,12,14,7.29505634307861
"913",803,40,120,35,13,4,1,28,1,0,1,1,3,4,10,12,6.6883544921875
"914",962,50,97,34,16,7,2,30,1,0,1,1,0,1,12,12,6.86901426315308
"916",600,40,114,36,16,5,4,30,1,0,1,1,2,1,12,12,6.39692974090576
"917",450,40,95,31,11,12,2,30,1,0,1,0,2,3,8,8,6.10924768447876
"918",629,60,93,32,12,6,1,30,1,1,1,0,8,3,10,6,6.44413137435913
"920",1562,40,97,28,17,7,2,32,1,0,1,1,5,1,12,13,7.3537220954895
"921",357,70,97,34,14,6,3,28,1,0,1,0,1,2,13,16,5.87773561477661
"923",566,45,104,46,16,5,2,32,1,0,1,0,1,2,12,12,6.33859395980835
"924",481,40,82,27,12,9,2,32,1,0,1,0,2,2,12,8,6.17586708068848
"925",1442,40,113,45,16,8,10,35,1,0,1,1,2,2,8,8,7.2737865447998
"926",645,45,93,39,12,11,3,35,1,0,1,0,7,7,7,8,6.46925020217896
"929",477,45,100,33,12,9,3,31,1,0,1,0,3,3,7,7,6.16751670837402
"930",664,60,82,30,16,10,9,34,1,1,1,1,3,4,16,16,6.49828195571899
"932",1202,40,102,32,13,10,3,31,1,0,1,1,7,7,8,6,7.09174203872681
